"name","secret","required","exampleValue","status","evidence"
"AI_ALLOW_DIRECT_OPENROUTER","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"AI_GATEWAY_TIMEOUT_MS","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"AI_GATEWAY_TOKEN","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"AI_GATEWAY_URL","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"CENTRAL_BALE_BOT_API_KEY","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"CENTRAL_TELEGRAM_BOT_API_KEY","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"DATABASE_URL","non-secret","required-runtime","[REDACTED]","referenced","code-or-docker-or-env.example"
"DB_PASSWORD","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"DB_USER","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"DISABLE_AUTO_BALE_BOT","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"DISABLE_AUTO_TELEGRAM_BOT","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"ENABLE_CACHE_LOGS","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"ENABLE_PERF_LOGS","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"JWT_SECRET","secret","required-runtime","[REDACTED]","referenced","code-or-docker-or-env.example"
"MELIPAYAMAK_PASSWORD","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"MELIPAYAMAK_PATTERN_CODE","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"MELIPAYAMAK_USERNAME","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"NEXTAUTH_SECRET","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"NEXTAUTH_URL","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"NODE_ENV","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"OPENROUTER_API_KEY","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"OTP_HASH_SECRET","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"PEXELS_API_KEY","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"POSTGRES_DB","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"POSTGRES_PASSWORD","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"POSTGRES_USER","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"REDIS_PASSWORD","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"SMS_ENCRYPTION_KEY","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"SRH_CONNECTION_STRING","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"SRH_MODE","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"SRH_TOKEN","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"SUPER_ADMIN_SECRET","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"UPSTASH_REDIS_REST_TOKEN","secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
"UPSTASH_REDIS_REST_URL","non-secret","optional-or-context","[REDACTED]","referenced","code-or-docker-or-env.example"
